id,question,answer,intent,terminal,language
177,How to ensure comfort during long-haul flights?,Use pillows and blankets. Recline gently without disturbing neighbors. Stay hydrated and stretch when safe. Use entertainment options to pass time. Seek crew assistance for needs.,guidance,departure,english
178,How to locate special assistance counters?,"Follow airport signage or ask at info desks. Services for wheelchairs, seniors, and disabled passengers are available. Submit requests in advance if needed. Staff guidance ensures smooth navigation.",guidance,departure,english
179,How to handle emergencies for children onboard?,Stay calm and fasten seatbelts. Use oxygen masks and life jackets as instructed. Keep children close. Follow crew instructions strictly. Reassure children and ensure their safety.,guidance,departure,english
180,How to request a bassinet for infants?,Inform airline ahead of time. Staff will allocate appropriate seat. Bedding and safety checked. Boarding assistance provided. Ensures safe and comfortable travel for infants.,guidance,departure,english
181,How to manage boarding during gate changes?,Monitor display boards and announcements. Confirm gate via staff or app. Arrive on time at new gate. Keep boarding pass and ID ready. Stay attentive to avoid missing boarding.,guidance,departure,english
182,How to charge personal devices on board?,Use seat power ports or USB outlets. Keep devices secure while charging. Maintain airplane mode if required. Portable chargers recommended. Follow crew instructions.,guidance,departure,english
183,How to access airport Wi-Fi?,Select official network. Follow login or registration instructions. Free and paid options may exist. Ensure device security. Turn on airplane mode when required. Use Wi-Fi for updates or entertainment.,guidance,departure,english
184,How to manage unaccompanied minors?,Inform airline in advance. Staff provide supervision and escort. Parent/guardian contact details required. Assistance during boarding and deboarding provided. Ensures safe travel.,guidance,departure,english
185,How to handle liquids in cabin baggage?,"Keep containers ?100 ml. Use a transparent, resealable bag. Present separately at security screening. Avoid prohibited liquids. Keep bag accessible. Follow staff instructions.",guidance,departure,english
186,How to use priority boarding effectively?,Join designated lane for eligible passengers. Keep boarding pass ready. Follow staff instructions. Allows early cabin access and overhead bin space. Reduces boarding stress.,guidance,departure,english
187,How to follow seatbelt and safety instructions?,Always keep seatbelt fastened when seated. Read safety card. Follow crew instructions. Familiarize with emergency exits. Keep children and companions safe.,guidance,departure,english
188,How to manage personal comfort items?,"Use pillows, blankets, and entertainment devices. Keep items organized. Ask staff for assistance if needed. Adjust seating for long flights. Maintain personal comfort and convenience.",guidance,departure,english
189,How to use boarding passes on mobile?,Download from airline app. QR code scanned at gate. Keep screen bright. Backup print copy recommended. Keep ID handy for verification.,guidance,departure,english
190,How to navigate airport signage efficiently?,"Follow clear signs for check-in, security, lounges, and gates. Use airport maps or apps if needed. Ask staff for guidance. Allocate extra time for transfers.",guidance,departure,english
191,How to confirm baggage transfer?,Verify with airline staff during check-in. Ensure baggage is tagged to final destination. Keep boarding passes handy. Ask staff if unsure. Early confirmation prevents delays.,guidance,departure,english
192,How to handle flight delays due to operational issues?,Stay updated via app or display boards. Contact airline for alternate arrangements if needed. Use lounges for comfort. Keep documents ready. Stay patient and calm.,guidance,departure,english
193,How to request dietary meals on short notice?,Contact airline staff at check-in. Confirm preferences. Availability depends on airline policy. Staff will assist where possible. Always inform in advance if possible.,guidance,departure,english
194,How to handle security for electronics?,"Place laptops, tablets, and large electronics in separate tray. Remove devices during screening. Keep items accessible. Follow staff instructions. Avoid delays by preparing beforehand.",guidance,departure,english
195,How to locate airport assistance counters quickly?,"Follow signs or ask at info desks. Staff provide help for seniors, disabled passengers, and families. Submit requests in advance. Guidance ensures smooth navigation.",guidance,departure,english
196,How to shop duty-free efficiently?,Passport and boarding pass ready. Check purchase limits. Follow airline regulations for liquids and restricted items. Keep receipts for reference. Plan purchases according to luggage space.,guidance,departure,english
197,How to use airport shuttle services?,Check schedules at counters. Have tickets or passes ready. Follow designated pickup area. Use licensed shuttles. Allow extra time for transfers. Staff guidance ensures safety.,guidance,departure,english
198,How to manage carry-on baggage during long flights?,Keep essentials within reach. Store securely in overhead or under-seat. Avoid prohibited items. Organize efficiently. Follow airline size and weight rules.,guidance,departure,english
199,How to follow emergency procedures onboard?,Listen carefully to crew. Familiarize with exits and safety equipment. Keep calm and assist children or companions. Follow all instructions. Ensure personal and family safety.,guidance,departure,english
200,How to prepare children for departure?,Explain airport and security processes. Keep documents and boarding pass ready. Pack essential items accessible. Follow staff instructions calmly. Use family lanes if available.,guidance,departure,english
